Name,Start,End,Notes
Hook,00:00:00,00:00:45,Talking head + glass title Replace Loom for free
Problem,00:05:00,00:06:30,Popup No Loom bill
Desktop enter,00:23:50,00:24:25,Trim OBS recursion
Library detail,00:24:40,00:25:30,Share orange CTA
macOS PiP,00:27:35,00:28:30,Size menu callout
Install,00:29:45,00:31:30,GitHub releases
Settings Drive,00:34:55,00:36:00,Connected badge
Editor,00:36:50,00:38:00,Cut timeline
Library grid,00:39:15,00:40:10,DRIVE badges
CTA tip,00:40:30,00:41:30,End card overlay
