seconds	score	hhmmss
1434.700	0.359	23:54.70
1462.800	1.000	24:22.80
1486.933	1.000	24:46.93
1510.050	1.000	25:10.05
1579.317	0.413	26:19.32
1664.933	0.351	27:44.93
2036.167	1.000	33:56.17
2054.900	0.903	34:14.90
2066.167	0.712	34:26.17
2102.367	1.000	35:02.37
2131.867	0.871	35:31.87
2149.917	0.525	35:49.92
2220.467	0.422	37:00.47
2245.467	1.000	37:25.47
2268.167	1.000	37:48.17
2294.800	1.000	38:14.80
2309.900	0.483	38:29.90
2361.167	1.000	39:21.17
2369.717	1.000	39:29.72
2448.267	0.502	40:48.27
2469.200	0.527	41:09.20
2484.167	0.498	41:24.17
